id,path,day,topic,slug,difficulty,tier,title
KPOS-CD-01-01,coding-dsa,1,Python Diagnostic,python-diagnostic,easy,must_do,Eligibility counter
KPOS-CD-01-02,coding-dsa,1,Python Diagnostic,python-diagnostic,easy,must_do,Grade band label
KPOS-CD-01-03,coding-dsa,1,Python Diagnostic,python-diagnostic,easy,must_do,Total study minutes
KPOS-CD-01-04,coding-dsa,1,Python Diagnostic,python-diagnostic,medium,should_do,Normalize names
KPOS-CD-01-05,coding-dsa,1,Python Diagnostic,python-diagnostic,medium,should_do,Pass streak
KPOS-CD-01-06,coding-dsa,1,Python Diagnostic,python-diagnostic,medium,should_do,Simple report
KPOS-CD-01-07,coding-dsa,1,Python Diagnostic,python-diagnostic,medium-hard,stretch,Repair marks
KPOS-CD-01-08,coding-dsa,1,Python Diagnostic,python-diagnostic,medium-hard,stretch,Diagnostic summary
KPOS-CD-02-01,coding-dsa,2,Dry Run Thinking,dry-run-thinking,easy,must_do,Dry Run Thinking: warm-up implementation
KPOS-CD-02-02,coding-dsa,2,Dry Run Thinking,dry-run-thinking,easy,must_do,Dry Run Thinking: edge-case checker
KPOS-CD-02-03,coding-dsa,2,Dry Run Thinking,dry-run-thinking,easy,must_do,Dry Run Thinking: explainable solution
KPOS-CD-02-04,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium,should_do,Dry Run Thinking: interview variant 1
KPOS-CD-02-05,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium,should_do,Dry Run Thinking: interview variant 2
KPOS-CD-02-06,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium,should_do,Dry Run Thinking: pattern recognition drill
KPOS-CD-02-07,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium-hard,stretch,Dry Run Thinking: timed placement challenge
KPOS-CD-02-08,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium-hard,stretch,Dry Run Thinking: mixed follow-up
KPOS-CD-03-01,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,easy,must_do,"Conditions, Loops, and Functions: warm-up implementation"
KPOS-CD-03-02,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,easy,must_do,"Conditions, Loops, and Functions: edge-case checker"
KPOS-CD-03-03,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,easy,must_do,"Conditions, Loops, and Functions: explainable solution"
KPOS-CD-03-04,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium,should_do,"Conditions, Loops, and Functions: interview variant 1"
KPOS-CD-03-05,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium,should_do,"Conditions, Loops, and Functions: interview variant 2"
KPOS-CD-03-06,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium,should_do,"Conditions, Loops, and Functions: pattern recognition drill"
KPOS-CD-03-07,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium-hard,stretch,"Conditions, Loops, and Functions: timed placement challenge"
KPOS-CD-03-08,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium-hard,stretch,"Conditions, Loops, and Functions: mixed follow-up"
KPOS-CD-04-01,coding-dsa,4,Lists and Strings,lists-and-strings,easy,must_do,Lists and Strings: warm-up implementation
KPOS-CD-04-02,coding-dsa,4,Lists and Strings,lists-and-strings,easy,must_do,Lists and Strings: edge-case checker
KPOS-CD-04-03,coding-dsa,4,Lists and Strings,lists-and-strings,easy,must_do,Lists and Strings: explainable solution
KPOS-CD-04-04,coding-dsa,4,Lists and Strings,lists-and-strings,medium,should_do,Lists and Strings: interview variant 1
KPOS-CD-04-05,coding-dsa,4,Lists and Strings,lists-and-strings,medium,should_do,Lists and Strings: interview variant 2
KPOS-CD-04-06,coding-dsa,4,Lists and Strings,lists-and-strings,medium,should_do,Lists and Strings: pattern recognition drill
KPOS-CD-04-07,coding-dsa,4,Lists and Strings,lists-and-strings,medium-hard,stretch,Lists and Strings: timed placement challenge
KPOS-CD-04-08,coding-dsa,4,Lists and Strings,lists-and-strings,medium-hard,stretch,Lists and Strings: mixed follow-up
KPOS-CD-05-01,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,easy,must_do,Dictionaries and Sets: warm-up implementation
KPOS-CD-05-02,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,easy,must_do,Dictionaries and Sets: edge-case checker
KPOS-CD-05-03,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,easy,must_do,Dictionaries and Sets: explainable solution
KPOS-CD-05-04,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,medium,should_do,Dictionaries and Sets: interview variant 1
KPOS-CD-05-05,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,medium,should_do,Dictionaries and Sets: interview variant 2
KPOS-CD-05-06,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,medium,should_do,Dictionaries and Sets: pattern recognition drill
KPOS-CD-05-07,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,medium-hard,stretch,Dictionaries and Sets: timed placement challenge
KPOS-CD-05-08,coding-dsa,5,Dictionaries and Sets,dictionaries-and-sets,medium-hard,stretch,Dictionaries and Sets: mixed follow-up
KPOS-CD-06-01,coding-dsa,6,Time Complexity,time-complexity,easy,must_do,Time Complexity: warm-up implementation
KPOS-CD-06-02,coding-dsa,6,Time Complexity,time-complexity,easy,must_do,Time Complexity: edge-case checker
KPOS-CD-06-03,coding-dsa,6,Time Complexity,time-complexity,easy,must_do,Time Complexity: explainable solution
KPOS-CD-06-04,coding-dsa,6,Time Complexity,time-complexity,medium,should_do,Time Complexity: interview variant 1
KPOS-CD-06-05,coding-dsa,6,Time Complexity,time-complexity,medium,should_do,Time Complexity: interview variant 2
KPOS-CD-06-06,coding-dsa,6,Time Complexity,time-complexity,medium,should_do,Time Complexity: pattern recognition drill
KPOS-CD-06-07,coding-dsa,6,Time Complexity,time-complexity,medium-hard,stretch,Time Complexity: timed placement challenge
KPOS-CD-06-08,coding-dsa,6,Time Complexity,time-complexity,medium-hard,stretch,Time Complexity: mixed follow-up
KPOS-CD-07-01,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,easy,must_do,Arrays and Frequency Maps: warm-up implementation
KPOS-CD-07-02,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,easy,must_do,Arrays and Frequency Maps: edge-case checker
KPOS-CD-07-03,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,easy,must_do,Arrays and Frequency Maps: explainable solution
KPOS-CD-07-04,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,medium,should_do,Arrays and Frequency Maps: interview variant 1
KPOS-CD-07-05,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,medium,should_do,Arrays and Frequency Maps: interview variant 2
KPOS-CD-07-06,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,medium,should_do,Arrays and Frequency Maps: pattern recognition drill
KPOS-CD-07-07,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,medium-hard,stretch,Arrays and Frequency Maps: timed placement challenge
KPOS-CD-07-08,coding-dsa,7,Arrays and Frequency Maps,arrays-frequency-maps,medium-hard,stretch,Arrays and Frequency Maps: mixed follow-up
KPOS-CD-08-01,coding-dsa,8,Prefix Sum,prefix-sum,easy,must_do,Prefix Sum: warm-up implementation
KPOS-CD-08-02,coding-dsa,8,Prefix Sum,prefix-sum,easy,must_do,Prefix Sum: edge-case checker
KPOS-CD-08-03,coding-dsa,8,Prefix Sum,prefix-sum,easy,must_do,Prefix Sum: explainable solution
KPOS-CD-08-04,coding-dsa,8,Prefix Sum,prefix-sum,medium,should_do,Prefix Sum: interview variant 1
KPOS-CD-08-05,coding-dsa,8,Prefix Sum,prefix-sum,medium,should_do,Prefix Sum: interview variant 2
KPOS-CD-08-06,coding-dsa,8,Prefix Sum,prefix-sum,medium,should_do,Prefix Sum: pattern recognition drill
KPOS-CD-08-07,coding-dsa,8,Prefix Sum,prefix-sum,medium-hard,stretch,Prefix Sum: timed placement challenge
KPOS-CD-08-08,coding-dsa,8,Prefix Sum,prefix-sum,medium-hard,stretch,Prefix Sum: mixed follow-up
KPOS-CD-09-01,coding-dsa,9,Two Pointers,two-pointers,easy,must_do,Sorted pair sum exists
KPOS-CD-09-02,coding-dsa,9,Two Pointers,two-pointers,easy,must_do,Remove repeated neighbors
KPOS-CD-09-03,coding-dsa,9,Two Pointers,two-pointers,easy,must_do,Palindrome ignoring spaces
KPOS-CD-09-04,coding-dsa,9,Two Pointers,two-pointers,medium,should_do,Closest pair sum
KPOS-CD-09-05,coding-dsa,9,Two Pointers,two-pointers,medium,should_do,Pair count below limit
KPOS-CD-09-06,coding-dsa,9,Two Pointers,two-pointers,medium,should_do,Merge sorted unique
KPOS-CD-09-07,coding-dsa,9,Two Pointers,two-pointers,medium-hard,stretch,Three value zero witness
KPOS-CD-09-08,coding-dsa,9,Two Pointers,two-pointers,medium-hard,stretch,Max water area small
KPOS-CD-10-01,coding-dsa,10,Sliding Window,sliding-window,easy,must_do,Sliding Window: warm-up implementation
KPOS-CD-10-02,coding-dsa,10,Sliding Window,sliding-window,easy,must_do,Sliding Window: edge-case checker
KPOS-CD-10-03,coding-dsa,10,Sliding Window,sliding-window,easy,must_do,Sliding Window: explainable solution
KPOS-CD-10-04,coding-dsa,10,Sliding Window,sliding-window,medium,should_do,Sliding Window: interview variant 1
KPOS-CD-10-05,coding-dsa,10,Sliding Window,sliding-window,medium,should_do,Sliding Window: interview variant 2
KPOS-CD-10-06,coding-dsa,10,Sliding Window,sliding-window,medium,should_do,Sliding Window: pattern recognition drill
KPOS-CD-10-07,coding-dsa,10,Sliding Window,sliding-window,medium-hard,stretch,Sliding Window: timed placement challenge
KPOS-CD-10-08,coding-dsa,10,Sliding Window,sliding-window,medium-hard,stretch,Sliding Window: mixed follow-up
KPOS-CD-11-01,coding-dsa,11,Stack,stack,easy,must_do,Stack: warm-up implementation
KPOS-CD-11-02,coding-dsa,11,Stack,stack,easy,must_do,Stack: edge-case checker
KPOS-CD-11-03,coding-dsa,11,Stack,stack,easy,must_do,Stack: explainable solution
KPOS-CD-11-04,coding-dsa,11,Stack,stack,medium,should_do,Stack: interview variant 1
KPOS-CD-11-05,coding-dsa,11,Stack,stack,medium,should_do,Stack: interview variant 2
KPOS-CD-11-06,coding-dsa,11,Stack,stack,medium,should_do,Stack: pattern recognition drill
KPOS-CD-11-07,coding-dsa,11,Stack,stack,medium-hard,stretch,Stack: timed placement challenge
KPOS-CD-11-08,coding-dsa,11,Stack,stack,medium-hard,stretch,Stack: mixed follow-up
KPOS-CD-12-01,coding-dsa,12,Queue and Deque,queue-deque,easy,must_do,Queue and Deque: warm-up implementation
KPOS-CD-12-02,coding-dsa,12,Queue and Deque,queue-deque,easy,must_do,Queue and Deque: edge-case checker
KPOS-CD-12-03,coding-dsa,12,Queue and Deque,queue-deque,easy,must_do,Queue and Deque: explainable solution
KPOS-CD-12-04,coding-dsa,12,Queue and Deque,queue-deque,medium,should_do,Queue and Deque: interview variant 1
KPOS-CD-12-05,coding-dsa,12,Queue and Deque,queue-deque,medium,should_do,Queue and Deque: interview variant 2
KPOS-CD-12-06,coding-dsa,12,Queue and Deque,queue-deque,medium,should_do,Queue and Deque: pattern recognition drill
KPOS-CD-12-07,coding-dsa,12,Queue and Deque,queue-deque,medium-hard,stretch,Queue and Deque: timed placement challenge
KPOS-CD-12-08,coding-dsa,12,Queue and Deque,queue-deque,medium-hard,stretch,Queue and Deque: mixed follow-up
KPOS-CD-13-01,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,easy,must_do,Sorting and Custom Keys: warm-up implementation
KPOS-CD-13-02,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,easy,must_do,Sorting and Custom Keys: edge-case checker
KPOS-CD-13-03,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,easy,must_do,Sorting and Custom Keys: explainable solution
KPOS-CD-13-04,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,medium,should_do,Sorting and Custom Keys: interview variant 1
KPOS-CD-13-05,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,medium,should_do,Sorting and Custom Keys: interview variant 2
KPOS-CD-13-06,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,medium,should_do,Sorting and Custom Keys: pattern recognition drill
KPOS-CD-13-07,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,medium-hard,stretch,Sorting and Custom Keys: timed placement challenge
KPOS-CD-13-08,coding-dsa,13,Sorting and Custom Keys,sorting-custom-keys,medium-hard,stretch,Sorting and Custom Keys: mixed follow-up
KPOS-CD-14-01,coding-dsa,14,Binary Search,binary-search,easy,must_do,Index of target
KPOS-CD-14-02,coding-dsa,14,Binary Search,binary-search,easy,must_do,First true day
KPOS-CD-14-03,coding-dsa,14,Binary Search,binary-search,easy,must_do,Insert position
KPOS-CD-14-04,coding-dsa,14,Binary Search,binary-search,medium,should_do,First occurrence
KPOS-CD-14-05,coding-dsa,14,Binary Search,binary-search,medium,should_do,Integer square root
KPOS-CD-14-06,coding-dsa,14,Binary Search,binary-search,medium,should_do,Minimum capacity
KPOS-CD-14-07,coding-dsa,14,Binary Search,binary-search,medium-hard,stretch,Rotated minimum
KPOS-CD-14-08,coding-dsa,14,Binary Search,binary-search,medium-hard,stretch,Peak position
KPOS-CD-15-01,coding-dsa,15,Linked Lists,linked-lists,easy,must_do,Linked Lists: warm-up implementation
KPOS-CD-15-02,coding-dsa,15,Linked Lists,linked-lists,easy,must_do,Linked Lists: edge-case checker
KPOS-CD-15-03,coding-dsa,15,Linked Lists,linked-lists,easy,must_do,Linked Lists: explainable solution
KPOS-CD-15-04,coding-dsa,15,Linked Lists,linked-lists,medium,should_do,Linked Lists: interview variant 1
KPOS-CD-15-05,coding-dsa,15,Linked Lists,linked-lists,medium,should_do,Linked Lists: interview variant 2
KPOS-CD-15-06,coding-dsa,15,Linked Lists,linked-lists,medium,should_do,Linked Lists: pattern recognition drill
KPOS-CD-15-07,coding-dsa,15,Linked Lists,linked-lists,medium-hard,stretch,Linked Lists: timed placement challenge
KPOS-CD-15-08,coding-dsa,15,Linked Lists,linked-lists,medium-hard,stretch,Linked Lists: mixed follow-up
KPOS-CD-16-01,coding-dsa,16,Recursion,recursion,easy,must_do,Recursion: warm-up implementation
KPOS-CD-16-02,coding-dsa,16,Recursion,recursion,easy,must_do,Recursion: edge-case checker
KPOS-CD-16-03,coding-dsa,16,Recursion,recursion,easy,must_do,Recursion: explainable solution
KPOS-CD-16-04,coding-dsa,16,Recursion,recursion,medium,should_do,Recursion: interview variant 1
KPOS-CD-16-05,coding-dsa,16,Recursion,recursion,medium,should_do,Recursion: interview variant 2
KPOS-CD-16-06,coding-dsa,16,Recursion,recursion,medium,should_do,Recursion: pattern recognition drill
KPOS-CD-16-07,coding-dsa,16,Recursion,recursion,medium-hard,stretch,Recursion: timed placement challenge
KPOS-CD-16-08,coding-dsa,16,Recursion,recursion,medium-hard,stretch,Recursion: mixed follow-up
KPOS-CD-17-01,coding-dsa,17,Backtracking,backtracking,easy,must_do,Backtracking: warm-up implementation
KPOS-CD-17-02,coding-dsa,17,Backtracking,backtracking,easy,must_do,Backtracking: edge-case checker
KPOS-CD-17-03,coding-dsa,17,Backtracking,backtracking,easy,must_do,Backtracking: explainable solution
KPOS-CD-17-04,coding-dsa,17,Backtracking,backtracking,medium,should_do,Backtracking: interview variant 1
KPOS-CD-17-05,coding-dsa,17,Backtracking,backtracking,medium,should_do,Backtracking: interview variant 2
KPOS-CD-17-06,coding-dsa,17,Backtracking,backtracking,medium,should_do,Backtracking: pattern recognition drill
KPOS-CD-17-07,coding-dsa,17,Backtracking,backtracking,medium-hard,stretch,Backtracking: timed placement challenge
KPOS-CD-17-08,coding-dsa,17,Backtracking,backtracking,medium-hard,stretch,Backtracking: mixed follow-up
KPOS-CD-18-01,coding-dsa,18,Trees: Traversal,trees-traversal,easy,must_do,Trees: Traversal: warm-up implementation
KPOS-CD-18-02,coding-dsa,18,Trees: Traversal,trees-traversal,easy,must_do,Trees: Traversal: edge-case checker
KPOS-CD-18-03,coding-dsa,18,Trees: Traversal,trees-traversal,easy,must_do,Trees: Traversal: explainable solution
KPOS-CD-18-04,coding-dsa,18,Trees: Traversal,trees-traversal,medium,should_do,Trees: Traversal: interview variant 1
KPOS-CD-18-05,coding-dsa,18,Trees: Traversal,trees-traversal,medium,should_do,Trees: Traversal: interview variant 2
KPOS-CD-18-06,coding-dsa,18,Trees: Traversal,trees-traversal,medium,should_do,Trees: Traversal: pattern recognition drill
KPOS-CD-18-07,coding-dsa,18,Trees: Traversal,trees-traversal,medium-hard,stretch,Trees: Traversal: timed placement challenge
KPOS-CD-18-08,coding-dsa,18,Trees: Traversal,trees-traversal,medium-hard,stretch,Trees: Traversal: mixed follow-up
KPOS-CD-19-01,coding-dsa,19,Trees: Interview Patterns,tree-patterns,easy,must_do,Trees: Interview Patterns: warm-up implementation
KPOS-CD-19-02,coding-dsa,19,Trees: Interview Patterns,tree-patterns,easy,must_do,Trees: Interview Patterns: edge-case checker
KPOS-CD-19-03,coding-dsa,19,Trees: Interview Patterns,tree-patterns,easy,must_do,Trees: Interview Patterns: explainable solution
KPOS-CD-19-04,coding-dsa,19,Trees: Interview Patterns,tree-patterns,medium,should_do,Trees: Interview Patterns: interview variant 1
KPOS-CD-19-05,coding-dsa,19,Trees: Interview Patterns,tree-patterns,medium,should_do,Trees: Interview Patterns: interview variant 2
KPOS-CD-19-06,coding-dsa,19,Trees: Interview Patterns,tree-patterns,medium,should_do,Trees: Interview Patterns: pattern recognition drill
KPOS-CD-19-07,coding-dsa,19,Trees: Interview Patterns,tree-patterns,medium-hard,stretch,Trees: Interview Patterns: timed placement challenge
KPOS-CD-19-08,coding-dsa,19,Trees: Interview Patterns,tree-patterns,medium-hard,stretch,Trees: Interview Patterns: mixed follow-up
KPOS-CD-20-01,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,easy,must_do,Heap / Priority Queue: warm-up implementation
KPOS-CD-20-02,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,easy,must_do,Heap / Priority Queue: edge-case checker
KPOS-CD-20-03,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,easy,must_do,Heap / Priority Queue: explainable solution
KPOS-CD-20-04,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,medium,should_do,Heap / Priority Queue: interview variant 1
KPOS-CD-20-05,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,medium,should_do,Heap / Priority Queue: interview variant 2
KPOS-CD-20-06,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,medium,should_do,Heap / Priority Queue: pattern recognition drill
KPOS-CD-20-07,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,medium-hard,stretch,Heap / Priority Queue: timed placement challenge
KPOS-CD-20-08,coding-dsa,20,Heap / Priority Queue,heap-priority-queue,medium-hard,stretch,Heap / Priority Queue: mixed follow-up
KPOS-CD-21-01,coding-dsa,21,Trie,trie,easy,must_do,Trie: warm-up implementation
KPOS-CD-21-02,coding-dsa,21,Trie,trie,easy,must_do,Trie: edge-case checker
KPOS-CD-21-03,coding-dsa,21,Trie,trie,easy,must_do,Trie: explainable solution
KPOS-CD-21-04,coding-dsa,21,Trie,trie,medium,should_do,Trie: interview variant 1
KPOS-CD-21-05,coding-dsa,21,Trie,trie,medium,should_do,Trie: interview variant 2
KPOS-CD-21-06,coding-dsa,21,Trie,trie,medium,should_do,Trie: pattern recognition drill
KPOS-CD-21-07,coding-dsa,21,Trie,trie,medium-hard,stretch,Trie: timed placement challenge
KPOS-CD-21-08,coding-dsa,21,Trie,trie,medium-hard,stretch,Trie: mixed follow-up
KPOS-CD-22-01,coding-dsa,22,Graph Representation,graph-representation,easy,must_do,Graph Representation: warm-up implementation
KPOS-CD-22-02,coding-dsa,22,Graph Representation,graph-representation,easy,must_do,Graph Representation: edge-case checker
KPOS-CD-22-03,coding-dsa,22,Graph Representation,graph-representation,easy,must_do,Graph Representation: explainable solution
KPOS-CD-22-04,coding-dsa,22,Graph Representation,graph-representation,medium,should_do,Graph Representation: interview variant 1
KPOS-CD-22-05,coding-dsa,22,Graph Representation,graph-representation,medium,should_do,Graph Representation: interview variant 2
KPOS-CD-22-06,coding-dsa,22,Graph Representation,graph-representation,medium,should_do,Graph Representation: pattern recognition drill
KPOS-CD-22-07,coding-dsa,22,Graph Representation,graph-representation,medium-hard,stretch,Graph Representation: timed placement challenge
KPOS-CD-22-08,coding-dsa,22,Graph Representation,graph-representation,medium-hard,stretch,Graph Representation: mixed follow-up
KPOS-CD-23-01,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,easy,must_do,Graph BFS and DFS: warm-up implementation
KPOS-CD-23-02,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,easy,must_do,Graph BFS and DFS: edge-case checker
KPOS-CD-23-03,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,easy,must_do,Graph BFS and DFS: explainable solution
KPOS-CD-23-04,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,medium,should_do,Graph BFS and DFS: interview variant 1
KPOS-CD-23-05,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,medium,should_do,Graph BFS and DFS: interview variant 2
KPOS-CD-23-06,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,medium,should_do,Graph BFS and DFS: pattern recognition drill
KPOS-CD-23-07,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,medium-hard,stretch,Graph BFS and DFS: timed placement challenge
KPOS-CD-23-08,coding-dsa,23,Graph BFS and DFS,graph-bfs-dfs,medium-hard,stretch,Graph BFS and DFS: mixed follow-up
KPOS-CD-24-01,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,easy,must_do,Dynamic Programming Intuition: warm-up implementation
KPOS-CD-24-02,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,easy,must_do,Dynamic Programming Intuition: edge-case checker
KPOS-CD-24-03,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,easy,must_do,Dynamic Programming Intuition: explainable solution
KPOS-CD-24-04,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,medium,should_do,Dynamic Programming Intuition: interview variant 1
KPOS-CD-24-05,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,medium,should_do,Dynamic Programming Intuition: interview variant 2
KPOS-CD-24-06,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,medium,should_do,Dynamic Programming Intuition: pattern recognition drill
KPOS-CD-24-07,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,medium-hard,stretch,Dynamic Programming Intuition: timed placement challenge
KPOS-CD-24-08,coding-dsa,24,Dynamic Programming Intuition,dp-intuition,medium-hard,stretch,Dynamic Programming Intuition: mixed follow-up
KPOS-CD-25-01,coding-dsa,25,1D Dynamic Programming,dp-1d,easy,must_do,1D Dynamic Programming: warm-up implementation
KPOS-CD-25-02,coding-dsa,25,1D Dynamic Programming,dp-1d,easy,must_do,1D Dynamic Programming: edge-case checker
KPOS-CD-25-03,coding-dsa,25,1D Dynamic Programming,dp-1d,easy,must_do,1D Dynamic Programming: explainable solution
KPOS-CD-25-04,coding-dsa,25,1D Dynamic Programming,dp-1d,medium,should_do,1D Dynamic Programming: interview variant 1
KPOS-CD-25-05,coding-dsa,25,1D Dynamic Programming,dp-1d,medium,should_do,1D Dynamic Programming: interview variant 2
KPOS-CD-25-06,coding-dsa,25,1D Dynamic Programming,dp-1d,medium,should_do,1D Dynamic Programming: pattern recognition drill
KPOS-CD-25-07,coding-dsa,25,1D Dynamic Programming,dp-1d,medium-hard,stretch,1D Dynamic Programming: timed placement challenge
KPOS-CD-25-08,coding-dsa,25,1D Dynamic Programming,dp-1d,medium-hard,stretch,1D Dynamic Programming: mixed follow-up
KPOS-CD-26-01,coding-dsa,26,2D Dynamic Programming,dp-2d,easy,must_do,2D Dynamic Programming: warm-up implementation
